ID	Prompts
1	Man rides on the back of a wooden cart being pulled by two cows.
2	A zoo keeper looking at the back of a caged elephant.
3	A cat sitting amongst books and clothing in a suitcase.
4	A large cat sits on the sofa arm next to a girl using a computer.
5	Three people skateboarding with cement and a large crowd.
6	Four men standing against a brick wall with one of them eating from a food container, one with several carrots stuffed into his mouth, and the other two standing next to them.
7	A big bunch of skiers in a very big snowy field.
8	Two small horses standing in a field covered with grass.
9	Two young woman in a park doing tricks with a frisbee.
10	The young man is sitting in his car with his pet dog and studying from a textbook.
11	Four stuffed teddy bears dressed in pink and posed together.
12	Apples inside a blue container and a cardboard box of bananas.
13	A lighthouse stands on an island in the background as a surfer on an orange board rides the surf while holding a black pole.
14	Two people stand outside of a very old building.
15	a closeup of a computer keyboard and mouse with workers in the background.
16	A close up of several people with one holding an umbrella.
17	Two horses standing in an open field on a sunny day.
18	A young boy is making a silly face while staring at a whole pizza.
19	The tennis player is confident about the difficult shot.
20	a cobblestone street has busy sidewalks full of people with umbrellas
21	a man wearing a lei seated in a room full of people
22	an older man is inspecting some bananas at an outdoor market.
23	a woman is sitting at a table with a person pouring a bottle of wine into a wine glass.
24	a man and woman sitting by a wooden table with champagne and cake.
25	three people seated at a round wooden table with food.
26	a man drinking from a glass while sitting in front of a table full of food
27	a man standing in front of a mirror adjusting his tie
28	two men stand in a kitchen with wooden cabinets.
29	A uniformed boy is holding a basketball with his back to the hoop.
30	A beach patrol jeep drives along the sand as people wade and fly kites down the beach.
31	Small girl holding a recorder near a table with an unfinished drawing.
32	A cat standing on a table in front of a TV.
33	A cat sitting on a blanket next to a laptop.
34	A little boy stands by a stack of suitcases.
35	Two giraffes stand behind a fence in a zoo enclosure.
36	Two images: A woman and a cat at a window and a highway with a construction sign.
37	These three birds are walking along the beach looking for food.
38	A large elephant walking behind a car on a dirt road.
39	A young girl sitting on the sidewalk using her phone.
40	A young man holding a tennis racquet on a court.
41	A field with three cows grazing in the background.
42	Multiple men looking at a stack of luggage at an airport.
43	Two horses running inside a grassy fenced pasture.
44	A group of people walking horses through a field.
45	Several birds walk across the shore as the sun sets.
46	Two children are sitting and one appears to be in pain.
47	Two smiling men prepare hot dog rolls in a kitchen.
48	a young man who is sitting on top of very large elephant.
49	a woman getting ready to hit a tennis ball with a racket while a group of people watch from the stands.
50	a large group of birds are standing in the parking lot in empty spaces near cars.
51	a bronze statue of a woman and children with luggage.
52	a gray and white cat leaning up against a small tv.
53	a girl holding her brow and her tennis racquet as she takes a break.
54	altered photograph of young women on cell phones sitting on city buildings
55	a salvation army truck with people standing around the vehicle and getting beverages from the truck.
56	a big clock hangs above a platform that two people are walking on.
57	a blurry picture of people walking on the street in the rain with their umbrellas.
