Note: The following shows the ratings of three different participants in the same questionnaire.

Questionnaire ID	Colors	Shapes	Materials	Textures	Categories	Appearances	Actions	Biological States	Emotional States	Overall Emotions	Quantities	Interaction Relationships	Spatial Relationships	Positions in the figure	Layouts	Occlusion Relationships	Density Relationships	Environments	Relative Proportions	Styles	Lighting	Photographic Compositions
1401	4	5	5	5	5	5	4	3	3	3	5	5	5	4	4	4	4	3	5	5	4	4
1401	4	4	4	4	4	4	4	4	3	3	4	4	4	4	4	4	3	4	4	4	3	4
1401	3	3	4	3	4	3	4	3	3	3	4	4	4	3	3	3	3	4	3	4	3	3
1402	4	4	4	2	4	2	4	3	3	3	5	4	4	2	3	4	3	3	3	4	4	4
1402	5	5	5	5	5	5	5	5	3	4	5	5	4	2	5	5	4	3	4	5	5	4
1402	3	3	2	3	4	3	2	3	3	3	4	2	3	3	3	2	3	2	3	3	3	3
1403	4	4	4	5	4	4	4	4	3	3	5	1	1	1	2	2	2	3	2	4	4	4
1403	5	5	5	5	5	5	5	4	3	3	4	5	2	2	4	4	4	3	4	5	4	3
1403	3	4	4	4	4	4	4	4	4	3	4	4	3	2	2	3	3	3	3	3	3	3
1404	5	5	5	3	5	5	5	5	5	4	5	5	5	4	4	4	4	3	4	5	3	3
1404	3	3	3	4	4	4	4	4	3	3	4	4	5	4	4	4	4	3	3	3	3	3
1404	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	2	4	4
1405	4	3	4	4	4	4	4	4	3	3	5	4	4	3	3	4	4	3	3	3	3	3
1405	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	3
1405	4	4	4	4	4	3	5	4	3	3	4	3	4	4	4	3	4	3	4	4	4	3
1406	4	4	4	3	4	3	2	3	3	3	2	2	2	2	2	3	3	3	3	3	3	3
1406	4	4	4	4	4	4	4	4	3	4	4	4	4	3	3	3	3	3	4	4	4	4
1406	5	4	5	4	5	4	2	4	3	3	4	2	2	2	2	3	4	3	4	4	4	4
1407	4	3	4	4	4	3	4	4	3	3	4	4	4	4	4	3	4	4	3	4	3	4
1407	5	4	4	4	5	4	3	3	4	3	5	2	2	3	2	3	3	5	4	4	4	4
1407	5	5	5	5	5	3	2	3	3	3	5	2	3	3	4	4	4	4	4	5	3	3
1408	4	4	4	4	4	4	5	5	3	4	5	4	4	4	4	4	4	4	4	4	4	3
1408	5	5	5	5	5	5	5	3	3	3	5	3	3	3	3	3	3	3	3	5	3	3
1408	5	5	5	5	5	4	5	5	4	4	5	5	4	4	5	5	5	5	5	5	5	5
1409	5	5	5	5	5	3	5	4	3	3	5	5	3	3	3	3	3	3	3	5	3	3
1409	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
1409	4	4	4	4	4	4	4	3	3	3	4	4	3	3	3	3	3	3	4	4	3	3
1410	5	5	5	5	5	5	5	5	5	5	5	5	5	5	4	5	5	5	5	5	5	5
1410	4	4	4	4	4	4	4	4	3	3	4	4	3	3	3	3	3	4	4	4	3	3
1410	4	4	4	4	5	4	5	5	4	4	4	4	4	4	5	4	4	4	4	5	4	3
1411	4	4	4	4	4	4	4	3	3	3	5	4	3	3	4	3	3	3	4	4	3	3
1411	4	4	4	4	4	3	4	3	5	4	4	4	4	4	4	4	3	3	4	4	3	3
1411	5	4	5	5	5	4	5	3	3	3	5	4	3	4	5	3	4	4	4	2	4	3
1412	4	4	4	4	4	4	4	4	3	3	4	4	4	4	3	4	4	4	4	4	3	3
1412	4	5	4	4	5	4	2	3	3	3	4	4	4	4	5	4	3	4	4	3	5	3
1412	5	4	4	3	4	4	5	3	3	3	4	4	5	4	4	4	4	4	4	4	3	4
1413	5	4	5	4	4	3	4	3	3	3	5	4	4	4	5	4	3	3	4	2	4	3
1413	4	4	4	3	4	4	4	4	4	4	5	4	4	4	4	4	4	4	2	4	3	3
1413	5	5	4	4	4	3	5	4	3	4	5	5	4	4	3	3	3	4	3	5	3	3
1414	4	4	4	4	4	4	5	4	4	4	5	4	4	4	4	4	4	4	4	4	4	4
1414	4	4	4	4	4	3	5	3	3	3	5	3	5	3	3	3	3	4	3	5	3	3
1414	5	5	5	5	5	4	4	4	4	4	4	4	4	4	4	4	5	4	5	5	4	5
