Note: The following shows the average score of three different participants on the same questionnaire.

Questionnaire ID	Attributes	States	Entity  Relationships	Visual Effects	Semantic Consistency
1401	4.055555556	3.333333333	3.904761905	3.8	3.818181818
1402	3.777777778	3.416666667	3.571428571	3.533333333	3.590909091
1403	4.333333333	3.666666667	2.857142857	3.4	3.53030303
1404	4.055555556	4.083333333	4.19047619	3.4	3.954545455
1405	3.888888889	3.75	3.857142857	3.466666667	3.757575758
1406	4.055555556	3.166666667	2.80952381	3.533333333	3.378787879
1407	4.222222222	3.166666667	3.428571429	3.866666667	3.696969697
1408	4.611111111	4.083333333	4.047619048	4.066666667	4.212121212
1409	4.555555556	4	3.952380952	3.933333333	4.121212121
1410	4.388888889	4.333333333	4.095238095	4.2	4.242424242
1411	4.166666667	3.583333333	3.80952381	3.4	3.772727273
1412	4.111111111	3.25	4	3.733333333	3.833333333
1413	4.055555556	3.75	4.047619048	3.333333333	3.833333333
1414	4.222222222	3.916666667	3.952380952	4.066666667	4.045454545
1415	4.722222222	3.583333333	3.761904762	3.866666667	4.015151515
1416	4.277777778	3.666666667	3.761904762	3.8	3.893939394
1417	4.222222222	3.5	3.619047619	4.066666667	3.863636364
1418	4	2.75	3.476190476	3.533333333	3.5
1419	4.166666667	3.75	3.047619048	4.066666667	3.712121212
1420	3.5	3.833333333	3.80952381	3.933333333	3.757575758
1421	3.666666667	3.666666667	3.619047619	3.733333333	3.666666667
1422	3.777777778	3.416666667	3.619047619	3.266666667	3.545454545
1423	3.333333333	3.333333333	3.476190476	3.066666667	3.318181818
1424	3.666666667	3.166666667	3	3.333333333	3.287878788
1425	4.166666667	3.75	3.952380952	3.8	3.939393939
1426	4.055555556	3.833333333	4.333333333	3.933333333	4.075757576
1427	3.833333333	3.75	3.80952381	3.466666667	3.727272727
1428	3.833333333	3.583333333	3.238095238	3.533333333	3.53030303
1429	3.888888889	3.75	3.714285714	3.333333333	3.681818182
1430	4	3.75	3.714285714	3.533333333	3.757575758
1431	3.777777778	3.916666667	3.80952381	3.466666667	3.742424242
1432	3.722222222	3.5	3.666666667	3.2	3.545454545
1433	3.833333333	3.75	3.857142857	3.266666667	3.696969697
1434	4.222222222	4	3.857142857	3.533333333	3.909090909
1435	4.666666667	4.416666667	4	3.866666667	4.227272727
1436	2.888888889	3.5	3.142857143	3.733333333	3.272727273
1437	4.222222222	3.916666667	3.666666667	3.933333333	3.924242424
1438	4	3.5	2.571428571	3.733333333	3.393939394
1439	4	4	3.80952381	3.733333333	3.878787879
1440	3.833333333	2.916666667	2.857142857	3.733333333	3.333333333
1441	3.777777778	3.333333333	3.619047619	3.4	3.560606061
1442	4.666666667	3.666666667	3.80952381	3.733333333	4
1443	4.611111111	4.166666667	4.380952381	4.066666667	4.333333333
1444	3.944444444	3.25	3.142857143	3.6	3.484848485
1445	4.277777778	3.916666667	3.857142857	3.933333333	4
1446	3.666666667	4.166666667	3.285714286	3.4	3.575757576
1447	3.944444444	4.083333333	3.333333333	3.733333333	3.727272727
1448	4.111111111	3.416666667	3.857142857	3.666666667	3.803030303
1449	3.888888889	3.833333333	3.571428571	3.533333333	3.696969697
1450	3.944444444	3.666666667	4.285714286	3.866666667	3.984848485
1451	4.222222222	3.666666667	3.666666667	3.4	3.757575758
1452	3.888888889	3.666666667	3.761904762	3.466666667	3.712121212
1453	3.611111111	3.083333333	3.333333333	3.2	3.333333333
1454	3.833333333	3.25	3.142857143	2.533333333	3.212121212
1455	4	3.666666667	3.904761905	3.533333333	3.803030303
1456	4.666666667	3.75	4.095238095	3.8	4.121212121
1457	4	3.333333333	3.857142857	4	3.833333333
1458	4.333333333	3.666666667	4.047619048	3.4	3.909090909
1459	3.666666667	2.583333333	3.333333333	2.933333333	3.196969697
1460	3.888888889	3.25	2.952380952	2.933333333	3.257575758
1461	4.333333333	4.083333333	3.523809524	3.533333333	3.848484848
1462	3.722222222	3.416666667	3.047619048	3.466666667	3.393939394
1463	3.833333333	3.666666667	3.904761905	3.666666667	3.787878788
1464	4	3.666666667	3.952380952	3.933333333	3.909090909
1465	4.055555556	3.75	3.523809524	4	3.818181818
1466	3.5	4.166666667	3.666666667	3.466666667	3.666666667
1467	3.833333333	4.166666667	3.380952381	4.133333333	3.818181818
1468	3.833333333	3.25	2.285714286	3	3.045454545
1469	4.222222222	3.416666667	3.571428571	3.666666667	3.742424242
1470	3.777777778	3.5	3.904761905	3.533333333	3.712121212
1471	4.388888889	3.75	3.904761905	4.2	4.075757576
1472	4.111111111	4.25	3.761904762	3.733333333	3.939393939
1473	4.222222222	3.666666667	3.857142857	3.4	3.818181818
1474	3.777777778	3.5	3.523809524	3.6	3.606060606
1475	3.833333333	3.333333333	3.714285714	3.933333333	3.727272727
1476	4.166666667	4	3.714285714	4.2	4
1477	4.277777778	4.5	4	4.066666667	4.181818182
1478	4.111111111	2.416666667	3.285714286	3.666666667	3.439393939
1479	4.055555556	4	3.666666667	3.4	3.772727273
1480	4.444444444	3.666666667	3.476190476	3.4	3.757575758
1481	4.111111111	3.416666667	3.238095238	3.8	3.636363636
1482	3.777777778	3.583333333	3.619047619	3.066666667	3.53030303
1483	3.888888889	3.666666667	3.380952381	3.4	3.575757576
1484	3.777777778	3.166666667	3.523809524	4.133333333	3.666666667
1485	4.5	4.333333333	4.285714286	3.866666667	4.257575758
1486	3.944444444	4.25	3.714285714	4.133333333	3.96969697
1487	3.833333333	4.583333333	3.761904762	3.8	3.939393939
1488	4.388888889	4.916666667	4.047619048	4.266666667	4.348484848
1489	4.055555556	2.833333333	3.285714286	3.466666667	3.454545455
1490	3.444444444	3.666666667	3.428571429	3.6	3.515151515
1491	3.333333333	3.666666667	3.428571429	3.533333333	3.46969697
1492	4.166666667	3.666666667	3.857142857	4	3.939393939
1493	4.277777778	3.916666667	3.619047619	3.533333333	3.833333333
1494	4.277777778	3.25	3.523809524	3.666666667	3.712121212
1495	3.888888889	3.333333333	3.619047619	3.8	3.681818182
1496	3.666666667	3.916666667	3.80952381	3.866666667	3.803030303
1497	4.333333333	4.083333333	4.142857143	4.2	4.196969697
1498	4.277777778	3.333333333	3.333333333	3.733333333	3.681818182
1499	4.277777778	3.833333333	3.952380952	4.533333333	4.151515152
1500	4.166666667	3.25	3.619047619	3.733333333	3.727272727
1501	4.055555556	3.75	3.333333333	3.466666667	3.636363636
1502	3.333333333	3.666666667	3.19047619	3.2	3.318181818
1503	3.5	3.583333333	3.142857143	3.333333333	3.363636364
1504	3.722222222	3.5	3.571428571	3.266666667	3.53030303
1505	4.611111111	3.75	3.19047619	3.533333333	3.757575758
1506	3.555555556	4	3.047619048	3.666666667	3.5
1507	4.166666667	4	3.952380952	3.666666667	3.954545455
1508	4.388888889	4.333333333	4.047619048	4.2	4.227272727
1509	4.055555556	3.666666667	3.476190476	3.133333333	3.590909091
1510	4	3.166666667	3.142857143	3.466666667	3.454545455
1511	3.833333333	4.25	3.619047619	3.8	3.833333333
1512	4.055555556	3.583333333	3.380952381	3.733333333	3.681818182
1513	4.333333333	4.25	3.80952381	3.666666667	4
1514	3.222222222	3.583333333	3.619047619	3	3.363636364
1515	2.944444444	3.333333333	3.142857143	3.133333333	3.121212121
1516	4.277777778	3.833333333	4.238095238	3.866666667	4.090909091
1517	4.055555556	4	3.714285714	3.6	3.833333333
1518	3.777777778	3.916666667	3.19047619	3.533333333	3.560606061
1519	3.444444444	4.166666667	3.666666667	3.133333333	3.575757576
1520	3.777777778	4	3.761904762	3.933333333	3.848484848
1521	4.166666667	4.333333333	4.047619048	4.066666667	4.136363636
1522	3.833333333	3.416666667	3.714285714	3.933333333	3.742424242
1523	3.611111111	3.916666667	3.714285714	3.933333333	3.772727273
1524	4.277777778	4.25	3.904761905	3.866666667	4.060606061
1525	3.888888889	3.416666667	3.285714286	3.8	3.590909091
1526	4.388888889	3	3.047619048	3.2	3.439393939
1527	3.833333333	3.25	3.476190476	3.2	3.46969697
1528	3.888888889	3.583333333	3.19047619	3.666666667	3.560606061
1529	3.444444444	3.583333333	3.047619048	3.266666667	3.303030303
1530	3.888888889	3.75	3.714285714	4.066666667	3.848484848
1531	3.888888889	3.666666667	3.095238095	3.266666667	3.454545455
1532	4.055555556	3.416666667	2.952380952	3.333333333	3.424242424
1533	3.777777778	3.083333333	3.047619048	3.333333333	3.318181818
1534	3.833333333	3.25	3.428571429	3.466666667	3.515151515
1535	3.388888889	4.416666667	3.476190476	3.466666667	3.621212121
1536	3.722222222	3.833333333	3.523809524	3.4	3.606060606
1537	3.777777778	3.75	3.523809524	3.066666667	3.53030303
1538	4.388888889	4.416666667	3.714285714	3.666666667	4.015151515
1539	3.555555556	3.583333333	3.476190476	3.466666667	3.515151515
