Note: The following shows the sources of the images selected by three different participants in the same questionnaire.

Questionnaire ID	Choice
801	SD
801	SD
801	SD
802	REAL
802	FLUX
802	REAL
803	FLUX
803	FLUX
803	FLUX
804	REAL
804	REAL
804	REAL
805	FLUX
805	SD
805	SD
806	REAL
806	REAL
806	REAL
807	SD
807	SD
807	SD
808	SD
808	SD
808	SD
809	FLUX
809	FLUX
809	FLUX
810	DMD
810	FLUX
810	FLUX
811	SD
811	FLUX
811	SD
812	REAL
812	SD
812	SD
813	SD
813	FLUX
813	FLUX
814	FLUX
814	FLUX
814	FLUX
815	SD
815	SD
815	SD
816	SD
816	FLUX
816	SD
817	SD
817	SD
817	FLUX
818	REAL
818	REAL
818	REAL
819	REAL
819	REAL
819	FLUX
820	REAL
820	FLUX
820	REAL
821	SD
821	DMD
821	DMD
822	FLUX
822	DMD
822	SD
823	REAL
823	REAL
823	REAL
824	SD
824	FLUX
824	FLUX
825	SD
825	DMD
825	REAL
826	SD
826	DMD
826	SD
827	SD
827	FLUX
827	FLUX
828	SD
828	FLUX
828	FLUX
829	SD
829	SD
829	DMD
830	FLUX
830	FLUX
830	REAL
831	FLUX
831	FLUX
831	FLUX
832	FLUX
832	DMD
832	FLUX
833	FLUX
833	FLUX
833	FLUX
834	DMD
834	FLUX
834	FLUX
835	SD
835	SD
835	SD
836	REAL
836	FLUX
836	REAL
837	FLUX
837	FLUX
837	FLUX
838	REAL
838	SD
838	SD
839	SD
839	SD
839	SD
840	FLUX
840	FLUX
840	DMD
841	SD
841	SD
841	REAL
842	SD
842	REAL
842	REAL
843	SD
843	FLUX
843	FLUX
844	REAL
844	FLUX
844	FLUX
845	SD
845	SD
845	DMD
846	FLUX
846	DMD
846	FLUX
847	FLUX
847	FLUX
847	FLUX
848	FLUX
848	FLUX
848	FLUX
849	REAL
849	REAL
849	SD
850	SD
850	SD
850	SD
851	FLUX
851	FLUX
851	FLUX
852	SD
852	SD
852	SD
853	REAL
853	REAL
853	REAL
854	DMD
854	REAL
854	REAL
855	FLUX
855	SD
855	FLUX
856	FLUX
856	FLUX
856	FLUX
857	FLUX
857	FLUX
857	FLUX
858	REAL
858	REAL
858	SD
859	SD
859	SD
859	REAL
860	REAL
860	DMD
860	DMD
861	SD
861	SD
861	REAL
862	REAL
862	REAL
862	FLUX
863	REAL
863	REAL
863	REAL
864	REAL
864	SD
864	REAL
865	SD
865	SD
865	SD
866	REAL
866	REAL
866	REAL
867	FLUX
867	DMD
867	DMD
868	FLUX
868	FLUX
868	FLUX
869	REAL
869	FLUX
869	SD
870	SD
870	REAL
870	REAL
871	SD
871	SD
871	FLUX
872	REAL
872	FLUX
872	FLUX
873	FLUX
873	FLUX
873	FLUX
874	FLUX
874	FLUX
874	FLUX
875	FLUX
875	REAL
875	FLUX
876	DMD
876	FLUX
876	FLUX
877	REAL
877	REAL
877	REAL
878	SD
878	REAL
878	FLUX
879	SD
879	SD
879	SD
880	FLUX
880	FLUX
880	FLUX
881	FLUX
881	DMD
881	REAL
882	DMD
882	REAL
882	REAL
883	SD
883	FLUX
883	DMD
884	REAL
884	SD
884	REAL
885	REAL
885	REAL
885	REAL
886	FLUX
886	REAL
886	FLUX
887	REAL
887	REAL
887	SD
888	DMD
888	DMD
888	DMD
889	SD
889	DMD
889	DMD
890	REAL
890	REAL
890	REAL
891	REAL
891	REAL
891	REAL
892	DMD
892	FLUX
892	SD
893	REAL
893	FLUX
893	REAL
894	DMD
894	FLUX
894	FLUX
895	REAL
895	REAL
895	REAL
896	REAL
896	DMD
896	DMD
897	FLUX
897	DMD
897	DMD
898	FLUX
898	FLUX
898	FLUX
899	DMD
899	REAL
899	REAL
900	FLUX
900	DMD
900	SD
901	FLUX
901	FLUX
901	REAL
902	REAL
902	REAL
902	REAL
903	REAL
903	FLUX
903	DMD
904	REAL
904	FLUX
904	FLUX
905	SD
905	SD
905	SD
906	FLUX
906	SD
906	REAL
907	SD
907	DMD
907	DMD
908	SD
908	REAL
908	FLUX
909	DMD
909	DMD
909	FLUX
910	FLUX
910	FLUX
910	FLUX
911	FLUX
911	DMD
911	FLUX
912	REAL
912	DMD
912	SD
913	REAL
913	REAL
913	REAL
914	SD
914	SD
914	SD
915	DMD
915	REAL
915	REAL
916	FLUX
916	FLUX
916	FLUX
917	FLUX
917	REAL
917	FLUX
918	REAL
918	REAL
918	REAL
919	DMD
919	REAL
919	DMD
920	FLUX
920	REAL
920	FLUX
921	FLUX
921	FLUX
921	FLUX
922	SD
922	SD
922	SD
923	FLUX
923	FLUX
923	FLUX
924	REAL
924	REAL
924	REAL
925	SD
925	DMD
925	DMD
926	FLUX
926	FLUX
926	REAL
927	SD
927	SD
927	SD
928	FLUX
928	SD
928	FLUX
929	REAL
929	SD
929	FLUX
930	FLUX
930	SD
930	REAL
931	REAL
931	REAL
931	SD
932	FLUX
932	FLUX
932	REAL
933	FLUX
933	FLUX
933	FLUX
934	FLUX
934	DMD
934	REAL
935	SD
935	FLUX
935	REAL
936	SD
936	SD
936	SD
937	DMD
937	REAL
937	DMD
938	FLUX
938	SD
938	REAL
939	SD
939	REAL
939	DMD
940	FLUX
940	FLUX
940	FLUX
	
