Note: The following shows the ranking results given by three different participants on the same questionnaire.								
								
Questionnaire ID	SD3.5	FLUX PRO 1.1	DMD2	REAL IMAGES				
901	1	4	3	2				
901	1	3	2	4				
901	1	4	3	2				
902	4	2	3	1				
902	3	2	4	1				
902	3	2	4	1				
903	4	1	3	2				
903	2	1	3	4				
903	3	4	2	1				
904	2	3	4	1				
904	3	2	1	4				
904	2	3	4	1				
905	3	1	4	2				
905	2	1	4	3				
905	1	3	4	2				
906	3	2	4	1				
906	3	2	4	1				
906	3	2	4	1				
907	1	3	2	4				
907	1	2	4	3				
907	1	2	4	3				
908	1	2	3	4				
908	1	2	4	3				
908	1	2	4	3				
909	2	3	4	1				
909	3	1	4	2				
909	4	3	2	1				
910	2	1	3	4				
910	1	2	3	4				
910	1	2	3	4				
911	4	3	1	2				
911	1	2	3	4				
911	1	2	3	4				
912	1	3	4	2				
912	1	3	4	2				
912	1	3	4	2				
913	1	2	4	3				
913	1	2	4	3				
913	2	1	4	3				
914	2	1	3	4				
914	2	1	4	3				
914	2	1	3	4				
915	1	3	2	4				
915	1	3	2	4				
915	1	3	2	4				
916	1	2	3	4				
916	1	2	3	4				
916	3	1	2	4				
917	2	1	4	3				
917	1	2	4	3				
917	3	1	4	2				
918	3	1	4	2				
918	3	2	4	1				
918	3	4	2	1				
919	2	4	3	1				
919	3	2	4	1				
919	4	3	1	2				
920	3	1	2	4				
920	3	4	2	1				
920	3	1	2	4				
921	4	2	3	1				
921	2	4	1	3				
921	2	3	1	4				
922	3	1	2	4				
922	4	1	2	3				
922	3	2	4	1				
923	2	3	4	1				
923	1	3	4	2				
923	1	4	3	2				
924	2	1	3	4				
924	1	2	3	4				
924	3	1	4	2				
925	1	4	2	3				
925	1	4	2	3				
925	2	4	3	1				
926	1	2	3	4				
926	3	4	1	2				
926	2	3	1	4				
927	4	1	3	2				
927	1	2	3	4				
927	1	2	3	4				
928	3	1	4	2				
928	2	1	4	3				
928	3	1	4	2				
929	1	4	3	2				
929	3	4	1	2				
929	4	2	1	3				
930	1	3	4	2				
930	3	4	1	2				
930	3	2	4	1				
931	3	2	4	1				
931	4	1	3	2				
931	3	1	4	2				
932	3	2	4	1				
932	3	1	4	2				
932	2	1	4	3				
933	2	3	1	4				
933	2	4	3	1				
933	2	1	3	4				
934	2	3	1	4				
934	3	1	2	4				
934	2	3	1	4				
935	1	3	4	2				
935	1	3	2	4				
935	1	4	3	2				
936	3	2	4	1				
936	3	2	4	1				
936	3	2	4	1				
937	3	1	2	4				
937	3	1	2	4				
937	4	3	2	1				
938	1	2	3	4				
938	1	2	4	3				
938	1	2	3	4				
939	1	2	3	4				
939	1	3	2	4				
939	1	3	2	4				
940	3	1	2	4				
940	3	1	2	4				
940	4	1	2	3				
941	2	1	3	4				
941	1	2	3	4				
941	1	3	2	4				
942	3	2	4	1				
942	1	4	3	2				
942	1	2	4	3				
943	1	2	4	3				
943	2	1	4	3				
943	2	1	4	3				
944	4	1	3	2				
944	4	2	3	1				
944	3	1	4	2				
945	2	4	3	1				
945	2	1	3	4				
945	2	4	1	3				
946	2	1	3	4				
946	3	2	1	4				
946	2	1	3	4				
947	2	1	4	3				
947	2	4	3	1				
947	2	3	4	1				
948	3	1	4	2				
948	3	1	4	2				
948	4	1	3	2				
949	4	3	1	2				
949	3	2	4	1				
949	2	3	4	1				
950	1	2	3	4				
950	1	2	3	4				
950	1	4	2	3				
951	2	1	3	4				
951	2	1	3	4				
951	2	1	3	4				
952	1	4	3	2				
952	1	3	2	4				
952	4	2	3	1				
953	4	2	3	1				
953	4	2	3	1				
953	3	1	4	2				
954	3	4	2	1				
954	2	4	1	3				
954	3	2	1	4				
955	2	1	4	3				
955	1	2	4	3				
955	2	1	3	4				
956	2	1	4	3				
956	1	3	4	2				
956	2	3	4	1				
957	4	1	3	2				
957	3	1	4	2				
957	4	1	3	2				
958	2	3	4	1				
958	2	4	3	1				
958	1	4	3	2				
959	1	4	2	3				
959	2	3	1	4				
959	3	2	1	4				
960	2	3	4	1				
960	2	3	4	1				
960	4	3	1	2				
961	2	1	4	3				
961	2	3	4	1				
961	2	1	4	3				
962	4	3	2	1				
962	1	2	4	3				
962	1	2	3	4				
963	1	4	3	2				
963	2	4	3	1				
963	1	4	3	2				
964	1	3	4	2				
964	1	4	3	2				
964	1	4	3	2				
965	1	2	4	3				
965	1	3	4	2				
965	4	3	2	1				
966	3	2	4	1				
966	3	4	2	1				
966	4	2	3	1				
967	4	2	1	3				
967	4	2	1	3				
967	4	1	2	3				
968	3	1	4	2				
968	3	1	4	2				
968	3	1	4	2				
969	1	2	4	3				
969	3	2	4	1				
969	3	1	4	2				
970	2	3	4	1				
970	3	2	4	1				
970	2	3	4	1				
971	1	3	4	2				
971	3	1	2	4				
971	4	1	3	2				
972	4	1	3	2				
972	2	1	3	4				
972	3	1	2	4				
973	2	1	4	3				
973	1	2	4	3				
973	2	1	4	3				
974	3	1	2	4				
974	2	1	3	4				
974	3	1	2	4				
975	2	3	4	1				
975	3	2	4	1				
975	4	1	3	2				
976	3	1	2	4				
976	3	1	2	4				
976	3	1	2	4				
977	4	3	1	2				
977	4	3	2	1				
977	3	4	1	2				
978	3	1	4	2				
978	1	3	4	2				
978	2	1	4	3				
979	1	3	4	2				
979	1	3	4	2				
979	2	3	4	1				
980	4	2	3	1				
980	4	1	2	3				
980	4	1	2	3				
981	1	2	3	4				
981	1	4	2	3				
981	1	2	4	3				
982	2	3	4	1				
982	3	4	1	2				
982	1	2	4	3				
983	2	1	3	4				
983	3	2	1	4				
983	1	2	3	4				
984	3	2	4	1				
984	1	2	4	3				
984	2	3	4	1				
985	2	3	4	1				
985	2	3	4	1				
985	1	2	3	4				
986	4	2	1	3				
986	3	2	4	1				
986	2	1	3	4				
