Note: The following shows the scores of three different participants on the same questionnaire.

Questionnaire ID	Score
401	5
401	5
401	4
402	1
402	2
402	5
403	5
403	4
403	4
404	2
404	2
404	2
405	4
405	5
405	4
406	2
406	2
406	3
407	4
407	4
407	5
408	4
408	4
408	4
409	4
409	4
409	5
410	4
410	5
410	5
411	5
411	5
411	4
412	5
412	5
412	5
413	5
413	5
413	4
414	5
414	4
414	4
415	4
415	4
415	2
416	5
416	4
416	4
417	4
417	4
417	5
418	4
418	5
418	5
419	2
419	5
419	3
420	4
420	3
420	4
421	5
421	4
421	4
422	3
422	4
422	4
423	5
423	5
423	4
424	4
424	1
424	3
425	5
425	4
425	4
426	5
426	5
426	4
427	4
427	4
427	4
428	4
428	4
428	4
429	3
429	4
429	4
430	4
430	4
430	4
431	1
431	2
431	1
432	5
432	4
432	5
433	4
433	4
433	4
434	2
434	4
434	4
435	4
435	4
435	4
436	2
436	2
436	1
437	4
437	4
437	3
438	2
438	1
438	2
439	4
439	4
439	4
440	2
440	2
440	4
441	4
441	4
441	5
442	5
442	5
442	4
443	5
443	4
443	4
444	4
444	1
444	2
445	4
445	3
445	4
446	3
446	2
446	4
447	4
447	4
447	4
448	4
448	4
448	4
449	4
449	3
449	4
450	4
450	5
450	5
451	5
451	5
451	4
452	4
452	4
452	4
453	2
453	1
453	2
454	5
454	4
454	4
455	5
455	4
455	4
456	4
456	2
456	5
457	4
457	4
457	4
458	5
458	4
458	5
459	2
459	2
459	4
460	1
460	2
460	1
461	5
461	5
461	4
462	2
462	2
462	4
463	5
463	4
463	2
464	4
464	4
464	4
465	2
465	4
465	2
466	1
466	1
466	2
467	1
467	2
467	4
468	1
468	4
468	1
469	5
469	2
469	2
470	5
470	2
470	5
471	4
471	5
471	5
472	5
472	5
472	4
473	5
473	4
473	2
474	4
474	4
474	5
475	2
475	4
475	3
476	5
476	5
476	5
477	5
477	3
477	4
478	5
478	5
478	4
479	4
479	4
479	4
480	4
480	5
480	3
481	4
481	5
481	5
482	2
482	2
482	4
483	5
483	4
483	3
484	3
484	4
484	5
485	2
485	5
485	1
486	4
486	4
486	4
487	3
487	2
487	4
488	4
488	5
488	5
489	4
489	5
489	4
490	4
490	4
490	4
491	2
491	3
491	5
492	3
492	5
492	3
493	4
493	5
493	4
494	4
494	4
494	4
495	4
495	4
495	2
496	4
496	4
496	4
497	4
497	5
497	4
498	1
498	1
498	2
499	2
499	2
499	2
500	4
500	2
500	2
501	4
501	3
501	4
502	1
502	1
502	1
503	5
503	3
503	5
504	3
504	2
504	4
505	3
505	3
505	4
506	2
506	1
506	2
507	2
507	4
507	4
508	4
508	4
508	4
509	4
509	4
509	4
510	2
510	3
510	2
511	5
511	4
511	4
512	5
512	4
512	5
513	4
513	4
513	5
514	4
514	4
514	4
515	5
515	4
515	2
516	3
516	1
516	4
517	2
517	5
517	4
518	3
518	2
518	4
519	4
519	4
519	2
520	4
520	2
520	2
521	4
521	4
521	5
522	5
522	4
522	4
523	4
523	3
523	5
524	2
524	2
524	4
525	4
525	4
525	5
526	5
526	2
526	5
527	4
527	1
527	4
528	5
528	5
528	4
529	4
529	3
529	2
530	3
530	4
530	4
531	4
531	4
531	3
532	1
532	2
532	1
533	3
533	4
533	3
534	5
534	4
534	4
535	4
535	3
535	4
536	3
536	4
536	4
537	4
537	4
537	4
538	4
538	5
538	5
539	5
539	4
539	4
540	4
540	4
540	5
601	1
601	2
601	1
602	4
602	5
602	4
603	5
603	4
603	5
604	2
604	2
604	1
605	2
605	5
605	4
606	1
606	2
606	2
607	4
607	5
607	5
608	4
608	5
608	2
609	4
609	5
609	3
610	5
610	4
610	4
611	1
611	4
611	4
612	4
612	3
612	3
613	5
613	4
613	5
614	4
614	4
614	5
615	3
615	2
615	2
616	4
616	4
616	4
617	5
617	4
617	4
618	3
618	2
618	2
619	3
619	4
619	3
620	4
620	2
620	4
621	4
621	4
621	5
622	5
622	5
622	5
623	4
623	2
623	1
624	5
624	5
624	4
625	1
625	1
625	5
626	4
626	5
626	4
627	5
627	5
627	5
628	5
628	5
628	5
629	1
629	2
629	2
630	2
630	4
630	4
631	4
631	2
631	4
632	4
632	5
632	4
633	4
633	4
633	5
634	4
634	5
634	5
635	1
635	2
635	1
636	4
636	4
636	2
637	4
637	5
637	4
638	1
638	2
638	2
639	4
639	2
639	2
640	4
640	4
640	4
641	3
641	2
641	2
642	4
642	4
642	4
643	5
643	4
643	4
644	2
644	4
644	3
645	2
645	5
645	3
646	5
646	5
646	3
647	4
647	3
647	4
648	4
648	4
648	4
649	2
649	4
649	4
650	4
650	4
650	4
651	4
651	4
651	4
652	4
652	4
652	4
653	4
653	3
653	1
654	2
654	5
654	4
655	5
655	4
655	5
656	5
656	5
656	5
657	4
657	5
657	5
658	2
658	2
658	3
659	4
659	2
659	2
660	2
660	4
660	2
661	5
661	5
661	4
662	5
662	4
662	5
663	1
663	1
663	2
664	1
664	2
664	2
665	2
665	1
665	4
666	1
666	3
666	2
667	5
667	5
667	4
668	4
668	4
668	4
669	4
669	5
669	5
670	4
670	2
670	5
671	5
671	4
671	4
672	5
672	5
672	4
673	5
673	4
673	4
674	5
674	5
674	5
675	4
675	2
675	2
676	5
676	5
676	5
677	5
677	5
677	5
678	5
678	5
678	4
679	2
679	4
679	4
680	5
680	5
680	5
681	5
681	5
681	5
682	2
682	2
682	3
683	2
683	5
683	5
684	4
684	4
684	4
685	5
685	3
685	4
686	4
686	5
686	4
687	2
687	1
687	3
688	4
688	4
688	5
689	4
689	5
689	5
690	5
690	4
690	4
691	4
691	4
691	5
692	4
692	2
692	5
693	5
693	5
693	4
694	5
694	4
694	4
695	1
695	2
695	1
696	4
696	5
696	4
697	5
697	4
697	4
698	2
698	4
698	4
699	4
699	4
699	4
700	5
700	4
700	4
701	4
701	4
701	4
702	1
702	2
702	1
703	5
703	4
703	4
704	2
704	4
704	2
705	2
705	1
705	4
706	1
706	3
706	2
707	5
707	2
707	5
708	4
708	5
708	4
709	5
709	4
709	4
710	4
710	4
710	3
711	4
711	4
711	5
712	3
712	4
712	4
713	2
713	4
713	3
714	1
714	4
714	3
715	5
715	5
715	4
716	4
716	4
716	4
717	4
717	2
717	5
718	4
718	4
718	1
719	5
719	3
719	1
720	4
720	2
720	4
721	4
721	4
721	4
722	4
722	4
722	4
723	4
723	4
723	4
724	2
724	2
724	5
725	4
725	4
725	5
726	2
726	4
726	4
727	4
727	4
727	2
728	5
728	4
728	5
729	4
729	2
729	4
730	3
730	5
730	5
731	4
731	5
731	4
732	5
732	4
732	4
733	3
733	3
733	4
734	4
734	4
734	5
735	4
735	4
735	4
736	2
736	2
736	2
737	3
737	4
737	3
738	5
738	5
738	5
739	5
739	2
739	4
740	4
740	4
740	4
801	2
801	5
801	4
802	1
802	2
802	1
803	3
803	2
803	2
804	1
804	1
804	1
805	4
805	2
805	1
806	2
806	2
806	2
807	3
807	4
807	2
808	2
808	1
808	1
809	4
809	5
809	4
810	4
810	4
810	4
811	1
811	1
811	2
812	1
812	4
812	2
813	4
813	2
813	2
814	2
814	1
814	2
815	4
815	2
815	4
816	3
816	4
816	4
817	1
817	2
817	1
818	2
818	4
818	1
819	4
819	2
819	2
820	4
820	1
820	4
821	4
821	3
821	3
822	5
822	4
822	4
823	4
823	4
823	2
824	2
824	2
824	4
825	5
825	4
825	5
826	5
826	5
826	5
827	4
827	5
827	4
828	2
828	1
828	1
829	3
829	2
829	3
830	2
830	2
830	2
831	2
831	1
831	1
832	4
832	2
832	4
833	4
833	2
833	4
834	4
834	5
834	4
835	4
835	2
835	2
836	2
836	1
836	1
837	4
837	4
837	2
838	1
838	1
838	1
839	4
839	3
839	2
840	5
840	4
840	5
841	4
841	2
841	2
842	2
842	3
842	4
843	2
843	2
843	2
844	2
844	2
844	2
845	4
845	4
845	4
846	2
846	4
846	4
847	4
847	4
847	4
848	4
848	4
848	3
849	4
849	5
849	4
850	2
850	3
850	4
851	5
851	3
851	4
852	3
852	2
852	4
853	2
853	1
853	2
854	4
854	4
854	4
855	4
855	4
855	4
856	2
856	4
856	1
857	4
857	4
857	4
858	1
858	1
858	2
859	5
859	3
859	3
860	4
860	2
860	4
861	5
861	4
861	5
862	5
862	4
862	3
863	5
863	4
863	4
864	3
864	3
864	2
865	2
865	1
865	1
866	2
866	1
866	1
867	4
867	2
867	5
868	1
868	1
868	1
869	2
869	2
869	3
870	1
870	1
870	3
871	5
871	4
871	4
872	5
872	4
872	5
873	4
873	4
873	4
874	4
874	4
874	4
875	1
875	4
875	4
876	3
876	4
876	3
877	5
877	4
877	5
878	2
878	2
878	4
879	1
879	1
879	1
880	4
880	3
880	4
881	4
881	4
881	5
882	4
882	2
882	2
883	4
883	4
883	5
884	1
884	1
884	3
885	3
885	5
885	4
886	4
886	4
886	4
887	3
887	3
887	4
888	4
888	4
888	2
889	4
889	3
889	5
890	4
890	4
890	4
891	2
891	2
891	2
892	4
892	4
892	4
893	2
893	2
893	1
894	4
894	4
894	4
895	4
895	4
895	1
896	4
896	5
896	5
897	5
897	5
897	4
898	4
898	2
898	2
899	4
899	3
899	5
900	4
900	5
900	4
901	5
901	4
901	4
902	2
902	4
902	2
903	4
903	4
903	4
904	4
904	2
904	4
905	2
905	1
905	2
906	1
906	1
906	1
907	5
907	4
907	4
908	4
908	4
908	2
909	4
909	3
909	5
910	1
910	3
910	3
911	5
911	4
911	5
912	4
912	2
912	5
913	2
913	1
913	1
914	5
914	1
914	3
915	4
915	2
915	4
916	5
916	2
916	1
917	2
917	3
917	4
918	2
918	3
918	3
919	5
919	5
919	4
920	3
920	4
920	4
921	4
921	5
921	5
922	2
922	1
922	2
923	5
923	4
923	2
924	4
924	4
924	4
925	4
925	5
925	4
926	3
926	3
926	2
927	3
927	4
927	4
928	4
928	4
928	5
929	2
929	2
929	5
930	1
930	3
930	3
931	4
931	5
931	4
932	2
932	2
932	2
933	1
933	1
933	2
934	5
934	4
934	5
935	4
935	5
935	4
936	5
936	5
936	3
937	5
937	3
937	2
938	4
938	4
938	4
939	2
939	4
939	4
940	5
940	5
940	5
1001	4
1001	4
1001	4
1002	4
1002	2
1002	5
1003	2
1003	4
1003	5
1004	5
1004	5
1004	5
1005	4
1005	4
1005	4
1006	5
1006	4
1006	5
1007	3
1007	4
1007	4
1008	1
1008	2
1008	4
1009	4
1009	4
1009	4
1010	2
1010	3
1010	4
1011	2
1011	2
1011	4
1012	4
1012	5
1012	5
1013	5
1013	5
1013	4
1014	4
1014	3
1014	2
1015	1
1015	2
1015	2
1016	1
1016	2
1016	2
1017	4
1017	4
1017	4
1018	5
1018	5
1018	4
1019	3
1019	3
1019	3
1020	3
1020	5
1020	4
1021	4
1021	4
1021	5
1022	5
1022	5
1022	4
1023	5
1023	5
1023	5
1024	4
1024	2
1024	4
1025	5
1025	4
1025	4
1026	5
1026	4
1026	5
1027	5
1027	4
1027	4
1028	4
1028	4
1028	5
1029	4
1029	2
1029	5
1030	5
1030	5
1030	5
1031	3
1031	4
1031	2
1032	5
1032	4
1032	4
1033	4
1033	4
1033	5
1034	4
1034	5
1034	2
1035	3
1035	4
1035	4
1036	4
1036	5
1036	5
1037	4
1037	3
1037	4
1038	3
1038	4
1038	2
1039	4
1039	2
1039	4
1040	3
1040	4
1040	4
1041	4
1041	2
1041	3
1042	4
1042	5
1042	5
1043	5
1043	5
1043	4
1044	3
1044	3
1044	1
1045	4
1045	1
1045	4
1046	2
1046	4
1046	4
1047	4
1047	4
1047	4
1048	4
1048	4
1048	4
1049	4
1049	4
1049	5
1050	4
1050	2
1050	4
1051	2
1051	2
1051	4
1052	4
1052	3
1052	4
1053	4
1053	5
1053	5
1054	4
1054	1
1054	3
1055	4
1055	3
1055	4
1056	4
1056	4
1056	4
1057	4
1057	4
1057	4
1058	4
1058	4
1058	4
1059	2
1059	4
1059	4
1060	4
1060	4
1060	2
1061	4
1061	5
1061	5
1062	5
1062	5
1062	5
1063	5
1063	5
1063	2
1064	5
1064	4
1064	5
1065	3
1065	2
1065	4
1066	4
1066	4
1066	4
1067	2
1067	4
1067	1
1068	4
1068	4
1068	5
1069	2
1069	5
1069	5
1070	5
1070	4
1070	4
1071	4
1071	4
1071	5
1072	4
1072	5
1072	4
1073	5
1073	4
1073	5
1074	4
1074	3
1074	4
1075	4
1075	3
1075	4
1076	4
1076	2
1076	1
1077	4
1077	5
1077	2
1078	5
1078	5
1078	5
1079	4
1079	2
1079	4
1080	5
1080	4
1080	5
1081	4
1081	5
1081	5
1082	3
1082	4
1082	2
1083	3
1083	2
1083	4
1084	4
1084	4
1084	5
1085	2
1085	5
1085	5
1086	4
1086	4
1086	5
1087	4
1087	5
1087	5
1088	5
1088	5
1088	4
1089	5
1089	2
1089	5
1090	5
1090	4
1090	4
1091	3
1091	4
1091	4
1092	4
1092	4
1092	2
1093	5
1093	5
1093	5
1094	4
1094	5
1094	5
1095	5
1095	4
1095	4
1096	4
1096	4
1096	5
1097	4
1097	5
1097	2
1098	4
1098	4
1098	3
1099	4
1099	4
1099	5
1100	4
1100	5
1100	4
1101	5
1101	4
1101	5
1102	4
1102	5
1102	4
1103	4
1103	2
1103	5
1104	4
1104	5
1104	5
1105	1
1105	2
1105	4
1106	3
1106	4
1106	3
1107	4
1107	1
1107	2
1108	4
1108	4
1108	1
1109	4
1109	4
1109	4
1110	2
1110	3
1110	2
1111	5
1111	4
1111	4
1112	3
1112	2
1112	2
1113	4
1113	2
1113	5
1114	2
1114	3
1114	4
1115	5
1115	4
1115	5
1116	2
1116	5
1116	2
1117	5
1117	4
1117	4
1118	3
1118	2
1118	2
1119	4
1119	3
1119	4
1120	4
1120	4
1120	4
1121	4
1121	4
1121	5
1122	4
1122	5
1122	3
1123	3
1123	4
1123	4
1124	5
1124	4
1124	3
1125	4
1125	5
1125	5
1126	4
1126	4
1126	4
1127	5
1127	4
1127	4
1128	3
1128	4
1128	4
1129	4
1129	4
1129	4
1130	2
1130	3
1130	4
1131	4
1131	4
1131	4
1132	4
1132	4
1132	4
1133	4
1133	3
1133	4
1134	5
1134	2
1134	5
1135	5
1135	5
1135	4
1136	5
1136	2
1136	5
1137	4
1137	2
1137	4
1138	5
1138	5
1138	4
1139	5
1139	5
1139	5
1140	4
1140	4
1140	3
